epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1249,1.55637,2.84952,1.29867,0.00424,0.60437,0.01089,0.00609,1.27959,3.63832,1.16715,0.000541044,0.000541044,0.000541044
2,17.0406,1.39465,1.71073,1.15556,0.01276,0.81541,0.64008,0.36865,1.40805,3.14672,1.24445,0.00106052,0.00106052,0.00106052
3,23.2044,1.38174,1.58757,1.17741,0.84149,0.40551,0.5507,0.33968,1.40627,2.35315,1.25199,0.00154332,0.00154332,0.00154332
4,29.2804,1.36972,1.46697,1.17104,0.66008,0.66823,0.68991,0.40412,1.41167,1.77577,1.21176,0.00150197,0.00150197,0.00150197
5,35.3608,1.36763,1.36221,1.17736,0.61378,0.5553,0.60569,0.35839,1.41183,1.80104,1.24258,0.00144696,0.00144696,0.00144696
6,41.4967,1.36547,1.27499,1.16626,0.56214,0.66602,0.65815,0.38853,1.43692,1.5614,1.26305,0.00139195,0.00139195,0.00139195
7,47.4806,1.32088,1.20891,1.14672,0.6752,0.76196,0.72803,0.45701,1.41364,1.32187,1.22531,0.00133693,0.00133693,0.00133693
8,53.6746,1.32184,1.1587,1.13822,0.77161,0.6767,0.7581,0.45028,1.40737,1.34121,1.24914,0.00128192,0.00128192,0.00128192
9,59.9326,1.32714,1.14429,1.12639,0.73749,0.71748,0.76131,0.46081,1.4291,1.19583,1.2106,0.00122691,0.00122691,0.00122691
10,66.1635,1.28734,1.0802,1.09852,0.77235,0.6862,0.74501,0.44582,1.41071,1.21368,1.23701,0.0011719,0.0011719,0.0011719
11,72.319,1.3112,1.03736,1.12478,0.73735,0.71954,0.7809,0.46869,1.40702,1.07058,1.19998,0.00111689,0.00111689,0.00111689
12,78.4042,1.22367,0.97329,1.11536,0.64141,0.79017,0.77521,0.49786,1.3024,1.13323,1.15368,0.00106188,0.00106188,0.00106188
13,84.4661,1.26072,0.95798,1.10601,0.78468,0.7735,0.82268,0.50601,1.34788,1.03557,1.19445,0.00100687,0.00100687,0.00100687
14,90.5206,1.25445,0.92404,1.11101,0.73489,0.7271,0.81073,0.49986,1.38801,1.11106,1.1941,0.000951857,0.000951857,0.000951857
15,96.5621,1.21698,0.89013,1.09291,0.74091,0.79454,0.82036,0.49526,1.39009,0.9772,1.18095,0.000896846,0.000896846,0.000896846
16,102.556,1.20656,0.87579,1.09128,0.7021,0.8466,0.85158,0.52974,1.33221,0.92833,1.15496,0.000841835,0.000841835,0.000841835
17,108.561,1.20111,0.83451,1.07997,0.69842,0.7841,0.80719,0.50553,1.36691,0.98081,1.19721,0.000786824,0.000786824,0.000786824
18,114.625,1.20249,0.83012,1.0808,0.74326,0.74831,0.83453,0.52332,1.34413,0.97428,1.16976,0.000731813,0.000731813,0.000731813
19,120.695,1.17537,0.78942,1.05568,0.87026,0.72415,0.84456,0.52935,1.36535,0.90834,1.15692,0.000676802,0.000676802,0.000676802
20,126.905,1.17688,0.77174,1.07245,0.80892,0.81022,0.84509,0.52489,1.35102,0.89359,1.16745,0.000621791,0.000621791,0.000621791
21,160.771,1.12324,0.7976,1.06924,0.81916,0.79314,0.83223,0.51677,1.33686,0.89223,1.16065,0.00056678,0.00056678,0.00056678
22,167.094,1.13316,0.73782,1.0803,0.75218,0.77027,0.8209,0.51593,1.35255,0.89714,1.1636,0.000511769,0.000511769,0.000511769
23,172.957,1.0998,0.70314,1.06332,0.78321,0.78322,0.8415,0.5355,1.34075,0.83132,1.15888,0.000456758,0.000456758,0.000456758
24,178.954,1.10353,0.69162,1.06617,0.80768,0.78248,0.86102,0.53906,1.33664,0.8642,1.15364,0.000401747,0.000401747,0.000401747
25,184.831,1.07477,0.66424,1.05015,0.82903,0.80725,0.8743,0.54299,1.31584,0.80671,1.14907,0.000346736,0.000346736,0.000346736
26,190.767,1.05651,0.64047,1.04309,0.81202,0.80278,0.87542,0.54697,1.34593,0.83601,1.16491,0.000291725,0.000291725,0.000291725
27,196.664,1.05354,0.62947,1.03978,0.74754,0.81682,0.85944,0.53995,1.32621,0.90271,1.1636,0.000236714,0.000236714,0.000236714
28,202.61,1.04233,0.59966,1.0333,0.84727,0.78277,0.86778,0.52734,1.34513,0.8727,1.15523,0.000181703,0.000181703,0.000181703
29,208.512,1.00718,0.58128,1.02046,0.80268,0.81194,0.8704,0.5257,1.33915,0.90985,1.15421,0.000126692,0.000126692,0.000126692
30,214.615,1.01098,0.58339,1.01806,0.82469,0.79248,0.86683,0.52509,1.33566,0.88041,1.15564,7.1681e-05,7.1681e-05,7.1681e-05
